position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1437,1437,Steel Dynamics,steel-dynamics,steel-dynamics,Iron & Steel,United States,7777.0,8540.0,Indiana,Indiana,Mark D. Millett,,382.1,6424.0,
1438,1438,Ramsay Health Care,ramsay-health-care,ramsay-health-care,Healthcare Services,Australia,6564.0,10510.0,Australia,,Christopher Paul Rex,,357.9,5929.0,
1439,1439,Equinix,equinix,equinix,Computer Services,United States,3612.0,31126.0,California,California,Stephen M. Smith,,124.4,12608.0,
1440,1440,Coach,tapestry,tapestry,Apparel/Footwear Retail,United States,4547.0,11121.0,New York,New York,Victor Luís,http://specials-images.forbesimg.com/imageserve/580f951ea7ea435b91b076b1/280x425.jpg?fit=scale&background=000000,511.1,4679.0,http://specials-images.forbesimg.com/imageserve/57ff99104bbe6f19f2b51948/416x416.jpg?background=000000&cropX1=810&cropX2=2811&cropY1=0&cropY2=2000
1441,1441,Cosmo Energy Holdings,cosmo-energy-holdings,no-pic,Oil & Gas Operations,Japan,19680.0,1445.0,Japan,,Yaichi Kimura,,200.8,13483.0,
1442,1441,ISS,iss,iss,Business & Personal Services,Denmark,11758.0,7233.0,Denmark,,Jeff Olsen Gravenhorst,,329.2,6965.0,
1443,1443,Coca-Cola HBC,coca-cola-hbc,coca-cola-hbc,Beverages,Switzerland,6881.0,9388.0,Switzerland,,Dimitris Lois,,383.1,6924.0,
1444,1443,Goodman Group,goodman-group,goodman-group,Real Estate,Australia,1114.0,10802.0,Australia,,Gregory Leith Goodman,,678.1,9281.0,
1445,1445,Aeroports de Paris,aeroports-de-paris,aeroports-de-paris,Other Transportation,France,3260.0,11935.0,France,,Augustin Pascal de Romanet de Beaune,,481.2,11172.0,
1446,1446,E-mart,e-mart,e-mart,Discount Stores,South Korea,12737.0,5539.0,South Korea,,Hae-Sung Kim,,324.3,12774.0,
1447,1446,RiseSun Real Estate Development,risesun-real-estate-development,risesun-real-estate-development,Construction Services,China,4113.0,7318.0,China,,Shan Liu,,448.0,19195.0,
1448,1448,China National Chemical,china-national-chemical,china-national-chemical,Construction Services,China,8366.0,6507.0,China,,Jin Bo Yu,,367.5,12453.0,
1449,1449,Acciona,acciona,acciona,Construction Services,Spain,6612.0,4576.0,Spain,,José Manuel Entrecanales Domecq,,389.4,18361.0,
1450,1449,Fastenal,fastenal,fastenal,Home Improvement Retail,United States,3962.0,14530.0,Minnesota,Minnesota,Daniel L. Florness,,499.5,2669.0,
1451,1451,Hyundai Glovis,hyundai-glovis,hyundai-glovis,Other Transportation,South Korea,13223.0,4743.0,South Korea,,Kyeong-Bae Kim,,435.8,6597.0,
1452,1452,Hanesbrands,hanesbrands,hanesbrands,Apparel/Accessories,United States,6028.0,7755.0,North Carolina,North Carolina,"Gerald W. Evans, Jr.",,539.4,6908.0,
1453,1453,Penske Automotive,penske-automotive,penske-automotive,Specialty Stores,United States,20118.0,3780.0,Michigan,Michigan,"Roger S. Penske, Sr.",,342.9,8861.0,
1454,1454,Shoprite Holdings,shoprite-holdings,shoprite-holdings,Food Retail,South Africa,9447.0,7871.0,South Africa,,Pieter Christiaan Engelbrecht,,344.0,3987.0,
1455,1455,Gjensidige Forsikring,gjensidige-forsikring,gjensidige-forsikring,Property & Casualty Insurance,Norway,3406.0,7368.0,Norway,,Helge Leiro Baastad,,556.1,15709.0,
1456,1456,McCormick,mccormick,no-pic,Food Processing,United States,4425.0,12417.0,Maryland,Maryland,Lawrence Erik Kurzius,,472.4,4751.0,
1457,1457,Shanghai Commercial & Savings Bank,shanghai-commercial-savings-bank,shanghai-commercial-savings-bank,Regional Banks,Taiwan,1326.0,4113.0,Taiwan,,Yi-Jen Chiou,,364.3,51097.0,
1458,1457,Shiseido,shiseido,shiseido,Household/Personal Care,Japan,7825.0,10534.0,Japan,,Masahiko Uotani,,295.4,8111.0,
1459,1459,AVIC Capita,avic-capita,no-pic,Investment Services,China,1410.0,8132.0,China,,Da En Lu,,349.8,23010.0,
1460,1460,Melco International Development,melco-international-development,no-pic,Consumer Financial Services,Hong Kong,3073.0,2841.0,Hong Kong,,Yau Lung Ho,,1335.4,13369.0,
1461,1461,Citrix Systems,citrix-systems,citrix-systems,Software & Programming,United States,3418.0,13001.0,Florida,Florida,Kirill Tatarinov,,536.1,6390.0,
1462,1461,Goldcorp,goldcorp,goldcorp,Diversified Metals & Mining,Canada,3517.0,12605.0,Canada,,David A. Garofalo,,166.9,21497.0,
1463,1463,Realty Income,realty-income,realty-income,Real Estate,United States,1112.0,16337.0,California,California,John P. Case,,315.6,13153.0,
1464,1464,AECOM Technology,aecom-technology,aecom-technology,Construction Services,United States,17472.0,5129.0,California,California,Michael S. Burke,,163.7,13509.0,
1465,1465,ITV,itv,itv,Broadcasting & Cable,United Kingdom,4134.0,10760.0,United Kingdom,,Adam Alexander Crozier,,597.7,4427.0,
1466,1466,Cheniere Energy,cheniere-energy,cheniere-energy,Oil & Gas Operations,United States,1287.0,11282.0,Texas,Texas,Jack A. Fusco,,-610.0,23703.0,
1467,1467,Banco Popular Espanol,banco-popular-espanol,banco-popular-espanol,Regional Banks,Spain,4259.0,3589.0,Spain,,Pedro Antonio Larena Landeta,,-3855.5,156025.0,
1468,1468,Agile Property Holdings,agile-property-holdings,agile-property-holdings,Real Estate,China,7067.0,3529.0,China,,Zhuo Chen,,341.2,18955.0,
1469,1468,NCC Group,ncc-group,ncc-group,Construction Services,Sweden,6183.0,2645.0,Sweden,,Peter Wågström,,935.6,2858.0,
1470,1470,Oji Holdings,oji-holdings,oji-holdings,Paper & Paper Products,Japan,13006.0,4348.0,Japan,,Kiyotaka Shindo,,92.7,16068.0,
1471,1471,Korean Air,korean-air,korean-air,Airline,South Korea,10112.0,2580.0,South Korea,,Chang-Hoon Chi,,-486.9,19835.0,
1472,1472,Hong Leong Financial,hong-leong-financial,hong-leong-financial,Investment Services,Malaysia,2046.0,4197.0,Malaysia,,Kong Khoon Tan,,371.2,47456.0,
1473,1472,Smurfit Kappa Group,smurfit-kappa-group,smurfit-kappa-group,Paper & Paper Products,Ireland,9027.0,6029.0,Ireland,,Anthony Paul James Smurfit,,490.0,9588.0,
1474,1474,Abu Dhabi Islamic Bank,abu-dhabi-islamic-bank,abu-dhabi-islamic-bank,Regional Banks,United Arab Emirates,1757.0,3398.0,United Arab Emirates,,Tirad Marouf Mahmoud,,448.8,33295.0,
1475,1474,Hyosung,hyosung,hyosung,Diversified Metals & Mining,South Korea,10282.0,3930.0,South Korea,,Seok-Rae Cho,,392.6,11691.0,
1476,1476,Aozora Bank,aozora-bank,aozora-bank,Regional Banks,Japan,1130.0,4087.0,Japan,,Shinsuke Baba,,404.6,41132.0,
1477,1477,Ashtead Group,ashtead-group,ashtead-group,Business & Personal Services,United Kingdom,4028.0,10461.0,United Kingdom,,Geoffrey Drabble,,643.8,7491.0,
1478,1478,Storebrand,storebrand,storebrand,Diversified Insurance,Norway,5114.0,2893.0,Norway,,Odd Arild Grefstad,,252.2,60357.0,
1479,1479,Persimmon,persimmon,persimmon,Construction Services,United Kingdom,4232.0,8206.0,United Kingdom,,Jeff Fairburn,,843.7,5121.0,
1480,1480,Ingredion,ingredion,ingredion,Food Processing,United States,5703.0,8585.0,Illinois,Illinois,James P. Zallie,,481.5,5782.0,
1481,1481,KB Insurance,kb-insurance,no-pic,Property & Casualty Insurance,South Korea,8177.0,1627.0,South Korea,,Jong-Hee Yang,,258.3,23741.0,
1482,1481,Sistema,sistema,sistema,Telecommunications services,Russia,10782.0,3684.0,Russia,,Mikhail Valerievich Shamolin,,-44.6,18087.0,
1483,1483,Taishin Financial Holdings,taishin-financial-holdings,taishin-financial-holdings,Investment Services,Taiwan,1439.0,3902.0,Taiwan,,Joseph Jao,,353.5,48931.0,
1484,1484,Yamaguchi Financial,yamaguchi-financial,yamaguchi-financial,Regional Banks,Japan,1471.0,2606.0,Japan,,Koichi Fukuda,,298.7,87474.0,
1485,1485,Mizrahi Tefahot Bank,mizrahi-tefahot-bank,mizrahi-tefahot-bank,Regional Banks,Israel,1930.0,3919.0,Israel,,Eldad Fresher,,329.8,59879.0,
1486,1486,Meritz Financial Group,meritz-financial-group,meritz-financial-group,Diversified Insurance,South Korea,6691.0,1523.0,South Korea,,Yong-Beom Kim,,217.8,30857.0,
1487,1487,Kangmei Pharmaceutical,kangmei-pharmaceutical,kangmei-pharmaceutical,Pharmaceuticals,China,3198.0,13367.0,China,,Xing Tian Ma,,496.0,7947.0,
1488,1488,IHI,ihi,ihi,Heavy Equipment,Japan,13983.0,5116.0,Japan,,Tamotsu Saito,,245.2,14729.0,
1489,1489,Scripps Networks Interactive,scripps-networks-interactive,scripps-networks-interactive,Broadcasting & Cable,United States,3401.0,10004.0,Tennessee,Tennessee,Kenneth Wayne Lowe,,673.6,6418.0,
1490,1490,Hang Lung Group,hang-lung-group,hang-lung-group,Real Estate,Hong Kong,1865.0,6055.0,Hong Kong,,Nan Lok Chen,,478.3,24039.0,
1491,1490,Waters,waters,waters,Precision Healthcare Equipment,United States,2167.0,12557.0,Massachusetts,Massachusetts,Christopher James O'Connell,,521.5,4662.0,
1492,1492,SEIBU,seibu,seibu,Business & Personal Services,Japan,4733.0,5839.0,Japan,,Takashi Goto,,723.5,13620.0,
1493,1493,China Longyuan Power,china-longyuan-power,china-longyuan-power,Diversified Utilities,China,3355.0,6361.0,China,,Bao Qiao,,516.0,19953.0,
1494,1494,Adient,adient,no-pic,Auto & Truck Parts,Ireland,16642.0,6263.0,Ireland,,Robert Bruce McDonald,,-1521.0,11257.0,
1495,1495,Blom Bank,blom-bank,blom-bank,Regional Banks,Lebanon,2353.0,2580.0,Lebanon,,Elias E. Aractingi,,458.3,29520.0,
1496,1496,Hokuhoku Financial Group,hokuhoku-financial-group,hokuhoku-financial-group,Regional Banks,Japan,1653.0,2003.0,Japan,,Eishin Ihori,,279.0,104854.0,
1497,1497,Jiangsu Hengrui Medicine,jiangsu-hengrui-medicine,no-pic,Pharmaceuticals,China,1639.0,18657.0,China,,Yun Zhou,,389.7,2062.0,
1498,1498,Ametek,ametek,ametek,Electrical Equipment,United States,3840.0,12455.0,Pennsylvania,Pennsylvania,David A. Zapico,,512.2,7101.0,
1499,1499,STMicroelectronics,stmicroelectronics,stmicroelectronics,Semiconductors,Switzerland,6976.0,13681.0,Switzerland,,Carlo Bozotti,,166.7,8008.0,
1500,1500,Dangote Cement,dangote-cement,dangote-cement,Construction Materials,Nigeria,2371.0,9144.0,Nigeria,,Onne van der Weijde,,745.2,4851.0,
1501,1500,SDIC Essence,sdic-essence,no-pic,Household/Personal Care,China,1617.0,8230.0,China,,Yao Bin Zhu,,385.8,18546.0,
1502,1502,Wärtsilä,wartsila,wartsila,Heavy Equipment,Finland,5311.0,10806.0,Finland,,Jaakko-Veikko Eskola,,389.4,5686.0,
1503,1503,Oi,oi,oi,Telecommunications services,Brazil,7458.0,952.0,Brazil,,Marco Norci Schroeder,,-1991.9,25247.0,
1504,1504,Maxim Integrated Products,maxim-integrated-products,maxim-integrated-products,Semiconductors,United States,2234.0,12727.0,California,California,Tunç Doluca,http://specials-images.forbesimg.com/imageserve/5a037f9b31358e542c04ff02/280x425.jpg?fit=scale&background=000000,500.2,3948.0,//specials-images.forbesimg.com/imageserve/5a037f9b31358e542c04ff02/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1505,1505,Chow Tai Fook Jewellery,chow-tai-fook-jewellery,chow-tai-fook-jewellery,Apparel/Accessories,Hong Kong,6442.0,10090.0,Hong Kong,,Siu Kee Wong,,335.8,6862.0,
1506,1506,Shimano,shimano,shimano,Recreational Products,Japan,2973.0,13638.0,Japan,,Yozo Shimano,,469.0,3806.0,
1507,1507,Bank Muscat,bank-muscat,bank-muscat,Regional Banks,Oman,1393.0,2818.0,Oman,,Abdul Razak Ali Issa,,458.6,28104.0,
1508,1507,Concordia Financial Group,concordia-financial-group,no-pic,Regional Banks,Japan,303.0,5740.0,Japan,,,,58.2,164122.0,
1509,1509,Thai Oil,thai-oil,thai-oil,Oil & Gas Operations,Thailand,7787.0,4393.0,Thailand,,Atikom Terbsiri,,601.5,6093.0,
1510,1510,Axiata Group,axiata-group,axiata-group,Telecommunications services,Malaysia,5206.0,10198.0,Malaysia,,Jamaludin bin Ibrahim,,121.7,15713.0,
1511,1511,Turkish Airlines,turkish-airlines,turkish-airlines,Airline,Turkey,9745.0,2007.0,Turkey,,Temel Kotil,,-15.5,18520.0,
1512,1512,Moscow Exchange,moscow-exchange,moscow-exchange,Investment Services,Russia,652.0,4364.0,Russia,,Alexander Konstantinovich Afanasiev,,375.8,40003.0,
1513,1513,Adani Ports & Special Economic Zone,adani-ports-special-economic-zone,no-pic,Other Transportation,India,1202.0,11209.0,India,,Karan Gautambhai Adani,,549.2,5965.0,
1514,1514,News Corp,news-corp,news-corp,Broadcasting & Cable,United States,8144.0,7273.0,New York,New York,Robert James Thomson,,-363.0,14527.0,
1515,1515,Metalurgica Gerdau,metalurgica-gerdau,metalurgica-gerdau,Iron & Steel,Brazil,10801.0,1407.0,Brazil,,Claudio Gerdau Johannpeter,,-395.0,16825.0,
1516,1516,Packaging Corp of America,packaging-corp-amer,packaging-corp-amer,Forest Products,United States,5779.0,8577.0,Illinois,Illinois,Mark W. Kowlzan,,445.1,5777.0,
1517,1517,Oceanwide Holdings,oceanwide-holdings,oceanwide-holdings,Construction Services,China,3364.0,6945.0,China,,Dong Zheng,,410.0,21708.0,
1518,1518,China Communications Services,china-communications-services,china-communications-services,Telecommunications services,China,13309.0,4341.0,China,,Fang Han,,382.5,9007.0,
1519,1518,Hertz Global Holdings,hertz-global-holdings,hertz-global-holdings,Rental & Leasing,United States,9132.0,1284.0,Florida,Florida,Kathryn V. Marinello,,-492.0,19155.0,
1520,1520,Fresnillo,fresnillo,fresnillo,Diversified Metals & Mining,Mexico,1909.0,14830.0,Mexico,,Octavio Alvidrez,,432.1,4290.0,
1521,1521,DSV,dsv,dsv,Trucking,Denmark,10066.0,9329.0,Denmark,,Jens Bjørn Andersen,,247.7,5726.0,
1522,1522,Alpha Bank,alpha-bank,alpha-bank,Regional Banks,Greece,4577.0,2900.0,Greece,,Demetrios P. Mantzounis,,45.7,68424.0,
1523,1523,FleetCor Technologies,fleetcor-technologies,fleetcor-technologies,Business & Personal Services,United States,1832.0,13433.0,Georgia,Georgia,Ronald F. Clarke,,449.2,9627.0,
1524,1524,IDBI Bank,idbi-bank,idbi-bank,Regional Banks,India,4838.0,2414.0,India,,"Mahesh Kumar Jain, CFA",,-548.5,56591.0,
1525,1525,EMS-Chemie Holding,ems-chemie-holding,ems-chemie-holding,Specialized Chemicals,Switzerland,2013.0,13614.0,Switzerland,,Magdalena Martullo-Blocher,,455.5,1953.0,
1526,1526,Whitbread,whitbread,whitbread,Restaurants,United Kingdom,4368.0,9139.0,United Kingdom,,Alison Brittain,,570.2,6026.0,
1527,1527,Albemarle,albemarle,albemarle,Specialized Chemicals,United States,2885.0,11733.0,Louisiana,Louisiana,"Luke C. Kissam, IV",,508.7,8161.0,
1528,1527,Taiwan Mobile,taiwan-mobile,taiwan-mobile,Telecommunications services,Taiwan,3617.0,12748.0,Taiwan,,Chun Ching Cheng,,475.0,4697.0,
1529,1529,NEX Group,nex-group,no-pic,Investment Services,United Kingdom,694.0,2694.0,United Kingdom,,Michael Alan Spencer,,106.9,146289.0,
1530,1529,Suruga Bank,suruga-bank,suruga-bank,Regional Banks,Japan,1300.0,4415.0,Japan,,Mitsuyoshi Okano,,370.5,38486.0,
1531,1531,Compal Electronics,compal-electronics,compal-electronics,Computer Hardware,Taiwan,23776.0,2834.0,Taiwan,,Jui Tsung Chen,,252.1,10767.0,
1532,1531,Metropolitan Bank & Trust,metropolitan-bank-trust,metropolitan-bank-trust,Regional Banks,Philippines,1967.0,5540.0,Philippines,,George Ty,,375.2,37761.0,
1533,1531,Mitsui Chemicals,mitsui-chemicals,mitsui-chemicals,Specialized Chemicals,Japan,10880.0,4754.0,Japan,,Tsutomu Tannowa,,362.4,10957.0,
1534,1531,TransDigm Group,transdigm-group,transdigm-group,Aerospace & Defense,United States,3284.0,12086.0,Ohio,Ohio,Nick Howley,,456.8,10037.0,
1535,1535,NiSource,nisource,nisource,Natural Gas Utilities,United States,4492.0,7665.0,Indiana,Indiana,Joseph J. Hamrock,,324.3,18692.0,
1536,1536,Banco BPI,banco-bpi,banco-bpi,Major Banks,Portugal,819.0,1647.0,Portugal,,Artur Eduardo Silva,,346.5,43512.0,
1537,1536,Taiheiyo Cement,taiheiyo-cement,taiheiyo-cement,Construction Materials,Japan,7372.0,4137.0,Japan,,Shuji Fukuda,,616.1,8888.0,
1538,1538,Alstom,alstom,alstom,Conglomerates,France,7938.0,6637.0,France,,Henri Poupart-Lafarge,,-1134.9,16321.0,
1539,1538,Liberty Media Corporation Series A Liberty Formula One,liberty-media-corporation-series-a-liberty-formula-one,no-pic,Recreational Products,United States,5276.0,6823.0,Colorado,Colorado,Gregory B. Maffei,,679.0,2995.0,
1540,1540,Lindt & Sprungli,lindt-sprungli,lindt-sprungli,Food Processing,Switzerland,3960.0,14583.0,Switzerland,,Dieter R. Weisskopf,,426.0,6400.0,
1541,1541,Continental Resources,continental-resources,continental-resources,Oil & Gas Operations,United States,2052.0,17271.0,Oklahoma,Oklahoma,Harold G. Hamm,,-399.7,14373.0,
1542,1542,Vulcan Materials,vulcan-materials,vulcan-materials,Construction Materials,United States,3593.0,16446.0,Alabama,Alabama,J. Thomas Hill,,395.0,8797.0,
1543,1543,MISC,misc,misc,Other Transportation,Malaysia,2317.0,7357.0,Malaysia,,Yang Chien Yee,,623.2,12517.0,
1544,1543,Uniqa,uniqa,uniqa,Diversified Insurance,Austria,5667.0,2374.0,Austria,,Andreas Brandstetter,,163.8,35145.0,
1545,1545,Companhia Brasileira de Distribuicao,companhia-brasileira-de-distribuicao,no-pic,Food Retail,Brazil,11966.0,5870.0,Brazil,,Ronaldo Iabrudi dos Santos Pereira,,-138.6,13893.0,
1546,1546,Grupo Bolivar,grupo-bolivar,no-pic,Business & Personal Services,Colombia,3840.0,1438.0,Colombia,,Miguel Kotal,,393.9,33656.0,
1547,1546,Hiroshima Bank,hiroshima-bank,hiroshima-bank,Regional Banks,Japan,1256.0,2555.0,Japan,,Isao Sumihiro,,281.7,76432.0,
1548,1548,Yunnan Baiyao Group,yunnan-baiyao-group,yunnan-baiyao-group,Pharmaceuticals,China,3401.0,13056.0,China,,Pin Yao Yin,,457.4,3424.0,
1549,1549,Alinma Bank,alinma-bank,alinma-bank,Regional Banks,Saudi Arabia,1110.0,6011.0,Saudi Arabia,,Abdul Mohsin bin Abdul Aziz Al-Fares,,400.5,27915.0,
1550,1550,Ferrari,ferrari,no-pic,,Italy,3435.0,13589.0,Italy,,,,441.1,4060.0,
1551,1550,LG Uplus,lg-uplus,lg-uplus,Telecommunications services,South Korea,9870.0,5696.0,South Korea,,Young-Soo Kwon,,424.7,9926.0,
1552,1552,Ensco,ensco,no-pic,Oil Services & Equipment,United Kingdom,2776.0,2784.0,United Kingdom,,Carl Trowell,,874.2,14374.0,
1553,1553,Assured Guaranty,assured-guaranty,assured-guaranty,Diversified Insurance,Bermuda,1396.0,4804.0,Bermuda,,Dominic John Frederico,,881.0,14218.0,
1554,1554,Banco BPM SpA,banco-bpm-spa,no-pic,Regional Banks,Italy,3176.0,4318.0,Italy,,Giuseppe Castagna,,-1860.3,123839.0,
1555,1554,EFG International,efg-international,efg-international,Regional Banks,Switzerland,1070.0,1748.0,Switzerland,,Joachim H. Straehle,,344.4,41638.0,
1556,1556,Rajesh Exports,rajesh-exports,no-pic,Household/Personal Care,India,36282.0,2780.0,India,,Prashant Jasvantrai Mehta,,172.8,3476.0,
1557,1557,Wendel,wendel,wendel,Investment Services,France,9163.0,5822.0,France,,Stéphane Bacquaert,,-448.8,17204.0,
1558,1558,Spirit AeroSystems,spirit-aerosystems,spirit-aerosystems,Aerospace & Defense,United States,6793.0,6849.0,Kansas,Kansas,"Thomas C. Gentile, III",,469.4,5405.0,
1559,1559,Terumo,terumo,terumo,Medical Equipment & Supplies,Japan,4633.0,13148.0,Japan,,Shinjiro Sato,,359.0,9120.0,
1560,1560,Office Depot,office-depot,office-depot,Specialty Stores,United States,12323.0,2461.0,Florida,Florida,Gerry P. Smith,,380.0,5540.0,
1561,1561,Shizuoka Bank,shizuoka-bank,shizuoka-bank,Regional Banks,Japan,1903.0,5079.0,Japan,,Katsunori Nakanishi,,261.7,102168.0,
1562,1562,Mercuries & Associates,mercuries-associates,mercuries-associates,Department Stores,Taiwan,6068.0,560.0,Taiwan,,Hsiang Li Chen,,63.5,30056.0,
1563,1563,Bank Otkritie,bank-otkritie,no-pic,Regional Banks,Russia,4865.0,4051.0,Russia,,Evgeniy Leonidovich Dankevich,,206.3,48340.0,
1564,1563,Foshan Haitian Flavouring and Food Company,foshan-haitian-flavouring-and-food,no-pic,Food Processing,China,1860.0,13982.0,China,,Pang Kang,,428.0,1938.0,
1565,1563,Staples,staples,staples,Specialty Stores,United States,19768.0,6362.0,Massachusetts,Massachusetts,Shira D. Goodman,,-1384.0,8271.0,
1566,1563,Zhengzhou Yutong Bus,zhengzhou-yutong-bus,zhengzhou-yutong-bus,Auto & Truck Manufacturers,China,5372.0,6925.0,China,,Bo Niu,,608.7,5058.0,
1567,1567,Industrial Securities,industrial-securities,industrial-securities,Investment Services,China,1302.0,7504.0,China,,Rong Lan,,412.1,17428.0,
1568,1567,Pacific Exploration & Production,pacific-exploration-production,no-pic,Oil & Gas Operations,Canada,1421.0,1621.0,Canada,,Barry B. Larson,,2455.8,2742.0,
1569,1569,Ihs Markit,ihs-markit,ihs-markit,Business & Personal Services,United Kingdom,2735.0,17162.0,United Kingdom,,Jerre Stead,,152.8,14006.0,
1570,1570,Bendigo & Adelaide Bank,bendigo-adelaide-bank,bendigo-adelaide-bank,Regional Banks,Australia,2243.0,4223.0,Australia,,Mike Hirst,,309.2,51374.0,
1571,1571,US Foods,us-foods,us-foods,Food Retail,United States,22919.0,6113.0,Illinois,Illinois,Pietro Satriano,,209.9,8944.0,
1572,1572,CCR,ccr,ccr,Other Transportation,Brazil,2868.0,11516.0,Brazil,,Renato Alves Vale,,491.7,7545.0,
1573,1572,Church & Dwight,church-dwight,church-dwight,Household/Personal Care,United States,3493.0,12587.0,New Jersey,New Jersey,Matthew Thomas Farrell,http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/280x425.jpg?fit=scale&background=000000,459.0,4354.0,http://specials-images.forbesimg.com/imageserve/5798ce62a7ea4374a7c66037/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1574,1574,Yamada Denki,yamada-denki,yamada-denki,Computer & Electronics Retail,Japan,14361.0,4800.0,Japan,,Tadao Ichimiya,,305.0,10483.0,
1575,1575,BCV Group,bcv-group,bcv-group,Regional Banks,Switzerland,1200.0,5863.0,Switzerland,,Pascal Kiener,,314.3,43376.0,
1576,1575,Hankook Tire,hankook-tire,hankook-tire,Auto & Truck Parts,South Korea,5707.0,5874.0,South Korea,,Seung-Hwa Suh,,752.3,7967.0,
1577,1575,Martin Marietta Materials,martin-marietta-materials,martin-marietta-materials,Construction Materials,United States,3819.0,13964.0,North Carolina,North Carolina,C. Howard Nye,,423.4,7560.0,
1578,1578,Intelsat,intelsat,no-pic,Telecommunications services,Luxembourg,2188.0,504.0,Luxembourg,,Stephen Spengler,,990.2,12942.0,
1579,1579,Royal Mail,royal-mail,no-pic,Air Courier,United Kingdom,13395.0,5145.0,United Kingdom,,Moya M. Greene,,302.3,10951.0,
1580,1580,Orkla,orkla,orkla,Conglomerates,Norway,4496.0,9062.0,Norway,,Peter Arne Ruzicka,,511.2,6460.0,
1581,1580,Saipem,saipem,saipem,Oil & Gas Operations,Italy,11035.0,4491.0,Italy,,Stefano Cao,,-2308.6,15067.0,
1582,1582,Aeroflot-Russian Airlines,aeroflot-russian-airlines,aeroflot-russian-airlines,Airline,Russia,7402.0,3183.0,Russia,,Vitaly Gennadyevich Savelyev,,558.9,4928.0,
1583,1582,Westlake Chemical,westlake-chemical,westlake-chemical,Diversified Chemicals,United States,5071.0,8662.0,Texas,Texas,Yuan Chao,,397.1,10890.0,
1584,1584,Canadian Utilities,canadian-utilities,no-pic,Electric Utilities,Canada,2565.0,7861.0,Canada,,Nancy C. Southern,,468.0,14005.0,
1585,1584,Suzuken,suzuken,suzuken,Pharmaceuticals,Japan,20124.0,3223.0,Japan,,Yoshiki Bessho,,244.2,10606.0,
1586,1586,Concho Resources,concho-resources,concho-resources,Oil & Gas Operations,United States,1635.0,19147.0,Texas,Texas,Tim Leach,,-1462.4,12471.0,
1587,1587,Hero Motocorp,hero-motocorp,hero-motocorp,Recreational Products,India,4334.0,10003.0,India,,Pawan Kant Munjal,,472.5,1915.0,
1588,1587,Pembina Pipeline,pembina-pipeline,pembina-pipeline,Oil & Gas Operations,Canada,3219.0,13039.0,Canada,,Mick Dilger,,351.7,11198.0,
1589,1589,Union National Bank,union-national-bank,union-national-bank,Regional Banks,United Arab Emirates,1352.0,3446.0,United Arab Emirates,,Mohammad Nasr Abdeen,,409.3,28293.0,
1590,1590,Gunma Bank,gunma-bank,gunma-bank,Regional Banks,Japan,1261.0,2251.0,Japan,,Kazuo Saito,,276.1,68244.0,
1591,1591,Novozymes,novozymes,novozymes,Biotechs,Denmark,2101.0,12197.0,Denmark,,Peder Holk Nielsen,,453.2,2761.0,
1592,1592,Avis Budget Group,avis-budget-group,avis-budget-group,Rental & Leasing,United States,8659.0,2349.0,New Jersey,New Jersey,Larry D. de Shon,,163.0,17789.0,
1593,1593,Sumitomo Metal Mining,sumitomo-metal-mining,sumitomo-metal-mining,Diversified Metals & Mining,Japan,6985.0,7660.0,Japan,,Nobumasa Kemori,,-403.6,13867.0,
1594,1594,China International Marine,china-international-marine,china-international-marine,Heavy Equipment,China,7603.0,6013.0,China,,Bo Mai,,77.1,17931.0,
1595,1594,ONO Pharmaceutical,ono-pharmaceutical,no-pic,Pharmaceuticals,Japan,2178.0,12283.0,Japan,,Toshiharu Korekane,,444.2,5002.0,
1596,1596,Maxis,maxis,maxis,Telecommunications services,Malaysia,2079.0,10838.0,Malaysia,,Morten Lundal,,485.9,4379.0,
1597,1597,B3,b3,no-pic,Investment Services,Brazil,666.0,12798.0,Brazil,,Gilson Finkelsztain,http://specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/280x425.jpg?fit=scale&background=000000,415.0,9701.0,//specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1598,1598,CNO Financial Group,cno-financial-group,cno-financial-group,Life & Health Insurance,United States,4025.0,3635.0,Indiana,Indiana,Edward John Bonach,,358.2,31975.0,
1599,1599,Piraeus Bank,piraeus-bank,piraeus-bank,Regional Banks,Greece,3377.0,1632.0,Greece,,Christos I. Megalou,,-39.2,85963.0,
1600,1600,World Fuel Services,world-fuel-services,world-fuel-services,Specialty Stores,United States,26919.0,2483.0,Florida,Florida,Michael J. Kasbar,,127.3,5413.0,
1601,1601,CJ Cheiljedang,cj-cheiljedang,cj-cheiljedang,Food Processing,South Korea,12552.0,4013.0,South Korea,,Cheol-Ha Kim,,237.8,13129.0,
1602,1602,Tiffany & Co.,tiffany-co,tiffany-co,Specialty Stores,United States,4002.0,11643.0,New York,New York,Michael Joseph Kowalski,,446.1,5098.0,
1603,1603,XPO Logistics,xpo-logistics,xpo-logistics,Trucking,United States,14619.0,5271.0,Connecticut,Connecticut,Bradley S. Jacobs,,63.3,11698.0,
