position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1086,1086,Power Finance,power-finance,power-finance,Business & Personal Services,India,4257.0,6259.0,India,,Rajeev Sharma,,944.5,37335.0,
1087,1086,Voestalpine,voestalpine,voestalpine,Iron & Steel,Austria,11935.0,7059.0,Austria,,Wolfgang Eder,,477.0,15059.0,
1088,1088,Hydro One,hydro-one,hydro-one,Electric Utilities,Canada,4945.0,10779.0,Canada,,Mayo M. Schmidt,,558.5,18904.0,
1089,1089,Whole Foods Market,whole-foods-market,whole-foods-market,Food Retail,United States,15814.0,9898.0,Texas,Texas,John P. Mackey,,445.0,6382.0,
1090,1090,Japan Exchange Group,japan-exchange-group,japan-exchange-group,Investment Services,Japan,1021.0,7790.0,Japan,,Akira Kiyota,,379.2,346814.0,
1091,1091,Fortum,fortum,fortum,Electric Utilities,Finland,4018.0,12450.0,Finland,,Pekka Ilmari Lundmark,,549.8,23167.0,
1092,1092,Grupo Bimbo,grupo-bimbo,grupo-bimbo,Food Processing,Mexico,13423.0,11835.0,Mexico,,Daniel Javier Servitje Montull,,315.9,11900.0,
1093,1093,Alrosa,alrosa,alrosa,Diversified Metals & Mining,Russia,4733.0,11416.0,Russia,,Sergey Sergeevich Ivanov,,1961.2,7744.0,
1094,1094,China National Building,china-national-building,china-national-building,Construction Materials,China,15258.0,3738.0,China,,Zhi Song,,157.3,49033.0,
1095,1095,Saputo,saputo,saputo,Food Processing,Canada,8436.0,13181.0,Canada,,"Lino Anthony Saputo, Jr.",,532.0,5704.0,
1096,1096,Shanghai Construction,shanghai-construction,shanghai-construction,Construction Services,China,19822.0,5467.0,China,,Jia Jun Bian,,315.4,25091.0,
1097,1097,Mondi,mondi,mondi,Paper & Paper Products,United Kingdom,7366.0,11721.0,United Kingdom,,Peter Josef Oswald,,700.4,7710.0,
1098,1098,Shin Kong Financial,shin-kong-financial,shin-kong-financial,Life & Health Insurance,Taiwan,10933.0,2843.0,Taiwan,,Jih-Chu Lee,,149.2,97967.0,
1099,1099,SDIC Power Holdings,sdic-power-holdings,sdic-power-holdings,Electric Utilities,China,4381.0,7672.0,China,,Gang Hu,,658.2,29811.0,
1100,1100,Land Securities Group,land-securities-group,land-securities-group,Real Estate,United Kingdom,1397.0,10769.0,United Kingdom,,Robert Montaque Noel,,758.0,19253.0,
1101,1101,China Hongqiao Group,china-hongqiao-group,china-hongqiao-group,Aluminum,China,7294.0,6587.0,China,,Bo Zhang,,648.6,19098.0,
1102,1102,Clorox,clorox,clorox,Household/Personal Care,United States,5875.0,17088.0,California,California,Benno O. Dorer,http://specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/280x425.jpg?fit=scale&background=000000,655.0,4568.0,//specials-images.forbesimg.com/imageserve/59e4fbc0a7ea436b47b3e290/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1103,1103,Cielo,cielo,cielo,Business & Personal Services,Brazil,3529.0,20920.0,Brazil,,Eduardo Campozana Gouveia,http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/280x425.jpg?fit=scale&background=000000,1149.1,9385.0,http://specials-images.forbesimg.com/imageserve/5798d0c84bbe6f17e8fbb6ae/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1104,1104,Assurant,assurant,assurant,Diversified Insurance,United States,7192.0,5243.0,New York,New York,Alan B. Colberg,,565.3,29709.0,
1105,1104,TCL Corp,tcl-corp,tcl-corp,Consumer Electronics,China,16505.0,6427.0,China,,Dong Sheng Li,,312.3,21321.0,
1106,1106,Wuliangye Yibin,wuliangye-yibin,wuliangye-yibin,Beverages,China,3402.0,23490.0,China,,Lin Chen,,1021.2,8947.0,
1107,1107,Thai Beverage,thai-beverage,thai-beverage,Beverages,Thailand,5276.0,17085.0,Thailand,,Thapana Sirivadhanabhakdi,,756.7,5205.0,
1108,1107,Zions Bancorp,zions-bancorp,zions-bancorp,Regional Banks,United States,2470.0,8405.0,Utah,Utah,Harris H. Simmons,,455.0,63445.0,
1109,1109,National Oilwell Varco,national-oilwell-varco,national-oilwell-varco,Oil Services & Equipment,United States,7248.0,14729.0,Texas,Texas,Clay C. Williams,,-2412.0,21140.0,
1110,1110,Flextronics International,flextronics-international,flextronics-international,Electronics,Singapore,23773.0,8751.0,Singapore,,Mike McNamara,,294.0,12803.0,
1111,1110,Hainan Airlines,hainan-airlines,hainan-airlines,Airline,China,6104.0,8422.0,China,,Ming Hu,,476.5,21317.0,
1112,1112,Yanzhou Coal Mining,yanzhou-coal-mining,yanzhou-coal-mining,Diversified Metals & Mining,China,14986.0,6840.0,China,,Xi Yong Li,,307.6,20954.0,
